timestamp,name,result1,result2,result3
20150223T120209,KONIOL,759,563,993
20090226T070246,INTERP,544,5018,862
20090409T120413,ROSIL7,14,7381,732
20160121T070156,INTERP,26,5843,544
20060803T100858,OUTBAK,867,1062,510
20131223T021203,RARITY,770,9237,382
20111024T081039,STELLI,47,8123,-69
20130510T080558,STELLI,699,4386,948
20141003T091006,SOLARI,958,2029,743
20101204T071204,WAYLAY,834,9834,235
20090523T110522,VARIET,244,1714,NODATA
20060425T100434,BRAZIL,604,9393,-846
20091108T051120,INTERP,747,5758,480
20150726T070714,FRUNZE,6,4595,-967
20151201T071253,INTERP,828,8029,-271
20071102T111127,EXURB1,296,3351,917
20080214T110201,STELLI,372,5360,-493
20081118T081142,RARITY,931,8546,297
20111122T101139,VARIET,838,2940,-574
20120504T080545,UNSEPA,222,194,-533
20121222T081241,CORPOR,732,8559,792
20110408T030450,SUPERN,253,6017,901
20090327T120312,TASHLI,815,1892,-464
20150216T080206,TASHLI,94,1883,-786
20061127T091152,SUPERN,956,9002,-980
20070111T040120,BALLFL,969,8806,962
20130401T040424,SUPERN,771,7274,-160
20131127T121137,HANDLE,51,8187,916
20110702T060759,BALLFL,176,6699,-856
20120401T070416,BALLFL,648,1592,-457
20140611T010637,RARITY,921,3123,622
20111219T041237,SUPERN,374,9953,777
20090926T010936,ROSIL7,309,9517,819
20150316T090354,BALLFL,699,3515,-570
20121008T041012,VARIET,669,7865,852
20081111T051155,FRUNZE,745,7021,599
20151119T081145,UNSEPA,NODATA,1359,272
20140303T060304,UNSEPA,228,1806,85
20080530T100552,JURYRI,780,9978,-117
20110820T100847,SOLARI,793,1003,45
20140602T050628,ROSIL7,393,8864,510
20150708T080750,HANDLE,781,3960,104
20110216T060210,UNSEPA,95,1688,-210
20120204T030242,FRUNZE,871,1888,-160
20110813T050815,KONIOL,599,7553,163
20130203T010239,SNUFFL,233,5065,-300
20091121T111106,CORPOR,640,1712,-529
20060706T030702,SNUFFL,187,3618,820
20100201T090214,JURYRI,687,9029,465
20100918T070941,DELCAS,378,266,-967
20130626T020643,RARITY,612,8559,-399
20110725T050706,INTERP,708,2744,836
20091231T061247,JURYRI,798,3721,-143
20100713T120740,SHNAPS,647,4002,-257
20130202T020254,SNUFFL,391,2876,476
20090404T120427,EXURB1,48,6909,207
20130415T110456,BRAZIL,166,8244,562
20140602T020619,KONIOL,138,9540,517
20120701T080718,SHNAPS,410,8855,-765
20120720T040757,JURYRI,940,2197,228
20090521T070516,ROSIL7,235,1154,686
20110920T060937,SHNAPS,474,878,-513
20130701T010715,BALLFL,95,259,-206
20060718T020712,SUPERN,723,7005,793
20120522T120525,CORPOR,242,9379,-465
20090729T080704,BRAZIL,754,946,-764
20110807T020853,PARICU,834,340,-970
20150426T120430,TASHLI,407,5194,-868
20131029T051058,KONIOL,140,7489,98
20100730T050730,STELLI,147,2424,-573
20080117T060155,BALLFL,276,3450,764
20131204T011248,EXURB1,934,9394,-614
20131204T121239,SUPERN,695,NODATA,-131
20110116T010143,RARITY,613,5902,-475
20111021T081017,SHNAPS,647,114,671
20120426T050436,SUPERN,735,2109,-309
20080706T020732,INTERP,28,4247,404
20120905T010901,BRAZIL,459,5652,378
20130727T010700,STELLI,95,4723,957
20131024T121006,SHNAPS,818,558,965
20140301T070339,BRAZIL,868,616,-973
20140906T050914,DELCAS,279,5787,-505
20150324T040342,SOLARI,657,104,224
20150309T080343,ROSIL7,856,1596,184
20151028T011003,JURYRI,249,4853,518
20130103T120154,PARICU,91,1479,-622
20110524T030516,SUPERN,92,3005,448
20061112T121122,PARICU,869,6591,-43
20141214T031232,RARITY,132,4784,-96
20081106T081103,OUTBAK,346,9299,-995
20080519T100533,SHNAPS,419,2276,540
20150509T030513,BALLFL,773,2536,989
20070929T090904,VARIET,307,5545,178
20091210T011213,WAYLAY,905,7041,192
20060421T050435,BALLFL,129,5536,-722
20120114T020151,CORPOR,479,6770,-85
20150921T040915,HANDLE,831,1773,-187
20070216T090210,FRUNZE,500,2888,154
20120209T120203,BALLFL,203,4660,-503
20060622T120654,GUEUX5,409,9727,-169
